"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","NCL",0.992442487037102,1,0.352681851579721,0.421052631578947,0.468627450980392,0.426900584795322,0.352681851579721,0.339912280701754,NA
"Basal cells","HLA-DRB1",0.995502938462591,1,0.351947097722263,0.444976076555024,0.433333333333333,0.292397660818713,0.351947097722263,0.344298245614035,NA
"Basal cells","ATP5MC3",0.996346262221623,1,0.350477590007347,0.356459330143541,0.43921568627451,0.426900584795322,0.350477590007347,0.346491228070175,NA
"Basal cells","ATP5MC2",0.991247472960249,1,0.34974283614989,0.502392344497608,0.56078431372549,0.461988304093567,0.34974283614989,0.37280701754386,NA
"Basal cells","RPL35A",0.987825779927067,1,0.349008082292432,0.77511961722488,0.815686274509804,0.777777777777778,0.349008082292432,0.486842105263158,NA
"Basal cells","PRDX2",0.963632198714086,1,0.348684210526316,0.483253588516746,0.46078431372549,0.432748538011696,0.481998530492285,0.348684210526316,NA
"Basal cells","RPS15A",0.987337369469745,1,0.348273328434974,0.681818181818182,0.792156862745098,0.725146198830409,0.348273328434974,0.421052631578947,NA
"Basal cells","CHCHD10",0.996502922276567,1,0.346069066862601,0.351674641148325,0.358823529411765,0.403508771929825,0.346069066862601,0.364035087719298,NA
"Basal cells","C19orf53",0.992472637518539,1,0.346069066862601,0.416267942583732,0.4,0.31578947368421,0.346069066862601,0.328947368421053,NA
"Basal cells","EEF1D",0.976485901626206,1,0.344298245614035,0.62200956937799,0.654901960784314,0.596491228070175,0.46069066862601,0.344298245614035,NA
"Basal cells","CSDE1",0.986239217837218,1,0.34313005143277,0.373205741626794,0.347058823529412,0.350877192982456,0.34313005143277,0.368421052631579,NA
"Basal cells","PSMB1",0.992821615974663,1,0.34313005143277,0.361244019138756,0.382352941176471,0.403508771929825,0.34313005143277,0.31578947368421,NA
"Basal cells","SOD1",0.997748449560189,1,0.341660543717855,0.330143540669856,0.43921568627451,0.432748538011696,0.341660543717855,0.381578947368421,NA
"Basal cells","SLC25A3",0.99377642008168,1,0.341660543717854,0.416267942583732,0.556862745098039,0.467836257309941,0.341660543717854,0.368421052631579,NA
"Basal cells","ATP5MPL",0.99155048033422,1,0.340925789860397,0.425837320574163,0.437254901960784,0.374269005847953,0.340925789860397,0.396929824561403,NA
